City,Temperature,Weather Cond
Accra,24ʡC,Broken clouds. Mild.
Addis Ababa,18ʡC,Fog. Mild.
Adelaide,14ʡC,Cool.
Algiers,29ʡC,Sunny. Warm.
Almaty,25ʡC,Passing clouds. Pleasantly warm.
Amman,27ʡC,Haze. Pleasantly warm.
Amsterdam,17ʡC,Partly sunny. Mild.
Anadyr,10ʡC,Partly sunny. Cool.
Anchorage,12ʡC,Passing clouds. Cool.
Ankara,30ʡC,Passing clouds. Pleasantly warm.
Antananarivo,22ʡC,Passing clouds. Mild.
Asuncion,20ʡC,Thunderstorms. Overcast. Mild.
Athens,27ʡC,Sunny. Warm.
Atlanta,22ʡC,Passing clouds. Mild.
Auckland,14ʡC,Passing clouds. Cool.
Bangkok,33ʡC,Scattered clouds. Hot.
Barcelona,24ʡC,Scattered clouds. Mild.
Beijing,32ʡC,Passing clouds. Hot.
Belgrade,24ʡC,Sunny. Mild.
Bengaluru,27ʡC,Broken clouds. Warm.
Berlin,24ʡC,Passing clouds. Mild.
Bogota,11ʡC,Passing clouds. Cool.
Boston,17ʡC,Passing clouds. Cool.
Brasilia,18ʡC,Clear. Mild.
Brisbane,16ʡC,Cool.
Brussels,18ʡC,Passing clouds. Mild.
Bucharest,24ʡC,Passing clouds. Mild.
Budapest,23ʡC,Passing clouds. Mild.
Buenos Aires,17ʡC,Light rain. Overcast. Mild.
Cairo,32ʡC,Sunny. Hot.
Calgary,15ʡC,Clear. Cool.
Canberra,9ʡC,Clear. Cool.
Cape Town,18ʡC,Passing clouds. Mild.
Caracas,24ʡC,Passing clouds. Mild.
Casablanca,22ʡC,Scattered clouds. Mild.
Chicago,18ʡC,Passing clouds. Mild.
Copenhagen,22ʡC,Clear. Mild.
Dallas,24ʡC,Mostly cloudy. Mild.
Dar es Salaam,29ʡC,Scattered clouds. Warm.
Darwin,29ʡC,Sunny. Warm.
Denver,17ʡC,Clear. Mild.
Detroit,13ʡC,Clear. Cool.
Dhaka,36ʡC,Scattered clouds. Extremely hot.
Doha,38ʡC,Clear. Extremely hot.
Dubai,39ʡC,Clear. Extremely hot.
Dublin,14ʡC,Broken clouds. Cool.
Edmonton,9ʡC,Clear. Cool.
Frankfurt,17ʡC,Sprinkles. Partly sunny. Mild.
Guatemala City,18ʡC,Drizzle. Overcast. Mild.
Halifax,12ʡC,Clear. Cool.
Hanoi,32ʡC,Partly sunny. Hot.
Harare,12ʡC,Clear. Cool.
Havana,24ʡC,Passing clouds. Mild.
Helsinki,15ʡC,Broken clouds. Cool.
Hong Kong,32ʡC,Passing clouds. Hot.
Honolulu,26ʡC,Mostly cloudy. Warm.
Houston,25ʡC,Passing clouds. Warm.
Indianapolis,17ʡC,Clear. Cool.
Islamabad,30ʡC,Scattered clouds. Warm.
Istanbul,26ʡC,Scattered clouds. Warm.
Jakarta,31ʡC,Partly sunny. Warm.
Jerusalem,26ʡC,Mild.
Johannesburg,18ʡC,Clear. Mild.
Karachi,30ʡC,Broken clouds. Warm.
Kathmandu,30ʡC,Scattered clouds. Warm.
Kingston,28ʡC,Warm.
Kinshasa,23ʡC,Scattered clouds. Mild.
Kiritimati,28ʡC,Passing clouds. Warm.
Kolkata,34ʡC,Broken clouds. Extremely hot.
